CustomerID,TransactionID,Transaction Time,ProductID,Cost,Month,Year,Quarter
1001,1ID10051,1/1/2011 9:18,1,14.475,1,2011,1
1004,1ID10054,1/1/2011 11:54,7,25.325,1,2011,1
1012,1ID10062,2/1/2011 11:48,20,19.975,1,2011,1
1012,1ID10062,2/1/2011 11:48,20,19.975,1,2011,1
1013,1ID10063,2/1/2011 11:51,21,14.225,1,2011,1
1016,1ID10066,2/1/2011 12:43,23,15.225,1,2011,1
1016,1ID10066,2/1/2011 12:43,15,13.975,1,2011,1
1016,1ID10066,2/1/2011 12:43,15,13.975,1,2011,1
1016,1ID10066,2/1/2011 12:43,24,13.975,1,2011,1
1017,1ID10067,2/1/2011 13:42,4,18.975,1,2011,1
1018,1ID10068,2/1/2011 13:42,25,25.325,1,2011,1
1018,1ID10068,2/1/2011 13:42,26,25.825,1,2011,1
1019,1ID10069,2/1/2011 17:19,1,14.475,1,2011,1
1019,1ID10069,2/1/2011 17:19,25,18.975,1,2011,1
1550,1ID11921,1/4/2011 11:23,11,20.7,4,2011,2
1550,1ID11921,1/4/2011 11:23,23,19.7,4,2011,2
1550,1ID11921,1/4/2011 11:23,23,19.7,4,2011,2
2335,1ID11922,1/4/2011 12:16,30,13.975,4,2011,2
2335,1ID11922,1/4/2011 12:16,3,4.725,4,2011,2
2335,1ID11922,1/4/2011 12:16,23,13.975,4,2011,2
2336,1ID11923,1/4/2011 12:38,11,14.975,4,2011,2
2336,1ID11923,1/4/2011 12:38,18,14.475,4,2011,2
1506,1ID11934,1/4/2011 17:53,32,3.125,4,2011,2
1506,1ID11934,1/4/2011 17:53,7,28.975,4,2011,2
2158,1ID14049,1/7/2011 12:09,8,14.725,7,2011,3
2158,1ID14049,1/7/2011 12:09,37,20.95,7,2011,3
2158,1ID14049,1/7/2011 12:09,23,20.7,7,2011,3
3470,1ID14054,1/7/2011 15:26,15,14.725,7,2011,3
3134,1ID14055,1/7/2011 16:45,8,14.725,7,2011,3
3134,1ID14055,1/7/2011 16:45,20,27.075,7,2011,3
1635,1ID14063,2/7/2011 10:39,25,19.725,7,2011,3
2398,1ID14064,2/7/2011 10:44,15,14.725,7,2011,3
3474,1ID14066,2/7/2011 11:29,15,14.725,7,2011,3
3475,1ID14067,2/7/2011 14:51,4,19.725,7,2011,3
